LandisData "Dynamic Input Data"			
>>>gfdl)alfi Climate. Isle Royale			
>>YEAR	ECOREGION	SPECIES	PEST/10	ANPP	MAXBIO
80	eco2	JP	0.025	372	5952
80	eco2	NWC	0.023	305	16836
80	eco2	PB	0.001	401	9825
80	eco2	QA	0.065	470	9212
80	eco2	RM	0.043	234	8307
80	eco2	RO	0.073	429	11926
80	eco2	S	0.053	307	3674
80	eco2	SM	0.081	269	11433
80	eco2	WS	0.001	624	11794
80	eco2	YB	0.064	409	9366
100	eco2	BA	0.001	373	11899
100	eco2	BF	0.001	479	6083
100	eco2	BS	0.001	525	9923
100	eco2	EWP	0.06	479	21507
100	eco2	JP	0.001	339	5424
100	eco2	NWC	0.001	266	14683
100	eco2	PB	0.001	395	9678
100	eco2	QA	0.039	479	9388
100	eco2	RM	0.055	213	7562
100	eco2	RO	0.063	430	11954
100	eco2	S	0.031	299	3397
100	eco2	SM	0.071	250	10625
100	eco2	WS	0.001	555	10490
100	eco2	YB	0.008	386	8839
120	eco2	BA	0.001	363	11580
120	eco2	BF	0.001	435	5525
120	eco2	BS	0.001	491	9280
120	eco2	EWP	0.054	519	23303
120	eco2	JP	0.001	340	5440
120	eco2	NWC	0.001	157	8666
120	eco2	PB	0.001	393	9629
120	eco2	QA	0.037	468	9173
120	eco2	RM	0.057	164	5822
120	eco2	RO	0.065	445	12371
120	eco2	S	0.028	288	3019
120	eco2	SM	0.065	207	8798
120	eco2	WS	0.001	529	9998
120	eco2	YB	0.001	374	8565
140	eco2	BA	0.001	248	7911
140	eco2	BF	0.001	198	2515
140	eco2	BS	0.001	228	4309
140	eco2	EWP	0.028	421	18903
140	eco2	JP	0.001	278	4448
140	eco2	NWC	0.001	60	3312
140	eco2	PB	0.001	266	6517
140	eco2	QA	0.001	335	6566
140	eco2	RM	0.066	128	4544
140	eco2	RO	0.052	278	7728
140	eco2	S	0.014	176	54
140	eco2	SM	0.025	166	7055
140	eco2	WS	0.001	251	4744
140	eco2	YB	0.001	286	6549
0	eco3	BA	0.058	490	15637
0	eco3	BF	0.08	776	9855
0	eco3	BS	0.076	912	17235
0	eco3	EWP	0.028	666	29883
0	eco3	JP	0.072	259	4145
0	eco3	NWC	0.06	473	26125
0	eco3	PB	0.082	540	13226
0	eco3	QA	0.064	795	15582
0	eco3	RM	0.005	252	8935
0	eco3	RO	0.035	653	18151
0	eco3	S	0.049	464	7544
0	eco3	SM	0.016	295	12541
0	eco3	WS	0.077	1033	19532
0	eco3	YB	0.039	530	12127
20	eco3	BA	0.037	492	15695
20	eco3	BF	0.075	766	9728
20	eco3	BS	0.084	908	17161
20	eco3	EWP	0.009	630	28287
20	eco3	JP	0.06	309	4944
20	eco3	NWC	0.039	464	25613
20	eco3	PB	0.084	528	12936
20	eco3	QA	0.053	782	15327
20	eco3	RM	0.001	254	9017
20	eco3	RO	0.02	642	17848
20	eco3	S	0.035	457	7397
20	eco3	SM	0.001	298	12665
20	eco3	WS	0.085	1029	19448
20	eco3	YB	0.013	520	11908
40	eco3	BA	0.079	484	15440
40	eco3	BF	0.084	737	9360
40	eco3	BS	0.065	868	16405
40	eco3	EWP	0.048	676	30352
40	eco3	JP	0.081	369	5904
40	eco3	NWC	0.08	437	24122
40	eco3	PB	0.078	528	12936
40	eco3	QA	0.075	782	15327
40	eco3	RM	0.013	254	9017
40	eco3	RO	0.052	643	17875
40	eco3	S	0.065	455	7313
40	eco3	SM	0.039	291	12368
40	eco3	WS	0.066	981	18541
40	eco3	YB	0.066	521	11931
60	eco3	BA	0.073	433	13813
60	eco3	BF	0.068	640	8128
60	eco3	BS	0.011	773	14610
60	eco3	EWP	0.075	684	30712
60	eco3	JP	0.063	426	6816
60	eco3	NWC	0.067	353	19486
60	eco3	PB	0.035	481	11785
60	eco3	QA	0.083	712	13955
60	eco3	RM	0.033	223	7917
60	eco3	RO	0.075	582	16180
60	eco3	S	0.071	403	5926
60	eco3	SM	0.074	258	10965
60	eco3	WS	0.011	808	15271
60	eco3	YB	0.083	474	10855
80	eco3	BA	0.037	453	14451
80	eco3	BF	0.043	640	8128
80	eco3	BS	0.001	750	14175
80	eco3	EWP	0.079	684	30712
80	eco3	JP	0.025	414	6624
80	eco3	NWC	0.023	308	17002
80	eco3	PB	0.001	496	12152
80	eco3	QA	0.077	726	14230
80	eco3	RM	0.043	234	8307
80	eco3	RO	0.081	601	16708
80	eco3	S	0.057	418	6361
80	eco3	SM	0.081	271	11518
80	eco3	WS	0.001	829	15668
80	eco3	YB	0.067	485	11107
100	eco3	BA	0.001	414	13207
100	eco3	BF	0.001	564	7163
100	eco3	BS	0.001	661	12493
100	eco3	EWP	0.069	612	27479
100	eco3	JP	0.001	402	6432
100	eco3	NWC	0.001	266	14683
100	eco3	PB	0.001	442	10829
100	eco3	QA	0.052	650	12740
100	eco3	RM	0.055	213	7562
100	eco3	RO	0.077	540	15012
100	eco3	S	0.035	368	5051
100	eco3	SM	0.071	250	10625
100	eco3	WS	0.001	742	14024
100	eco3	YB	0.009	432	9893
120	eco3	BA	0.001	366	11675
120	eco3	BF	0.001	445	5652
120	eco3	BS	0.001	530	10017
120	eco3	EWP	0.063	598	26850
120	eco3	JP	0.001	350	5600
120	eco3	NWC	0.001	157	8666
120	eco3	PB	0.001	391	9580
120	eco3	QA	0.044	560	10976
120	eco3	RM	0.057	164	5822
120	eco3	RO	0.073	478	13288
120	eco3	S	0.031	309	3477
120	eco3	SM	0.065	207	8798
120	eco3	WS	0.001	597	11283
120	eco3	YB	0.001	373	8542
140	eco3	BA	0.001	286	9123
140	eco3	BF	0.001	200	2540
140	eco3	BS	0.001	236	4460
140	eco3	EWP	0.029	525	23573
140	eco3	JP	0.001	283	4528
140	eco3	NWC	0.001	60	3312
140	eco3	PB	0.001	330	8085
140	eco3	QA	0.001	492	9643
140	eco3	RM	0.066	128	4544
140	eco3	RO	0.052	393	10925
140	eco3	S	0.014	245	1720
140	eco3	SM	0.025	166	7055
140	eco3	WS	0.001	265	5009
140	eco3	YB	0.001	327	7488

