LandisData "Dynamic Input Data"
>>Curent Climate for ISRO 5/30/18
>>YEAR	ECOREGION	SPECIES	PEST/10	ANPPMAX	MAXBIO
20	eco3	SM	0.001	279	11858
20	eco3	WS	0.084	982	18560
20	eco3	YB	0.011	503	11519
40	eco1	BA	0.074	476	15184
40	eco1	BF	0.076	741	9411
40	eco1	BS	0.063	803	15177
40	eco1	EWP	0.036	616	27658
40	eco1	JP	0.08	227	3632
40	eco1	NWC	0.077	432	23846
40	eco1	PB	0.076	527	12912
40	eco1	QA	0.064	649	12720
40	eco1	RM	0.01	223	7917
40	eco1	RO	0.043	622	17292
40	eco1	S	0.053	422	6539
40	eco1	SM	0.001	271	11518
40	eco1	WS	0.063	848	16027
40	eco1	YB	0.058	507	11610
40	eco2	BA	0.075	476	15184
40	eco2	BF	0.08	766	9728
40	eco2	BS	0.065	902	17048
40	eco2	EWP	0.042	622	27928
40	eco2	JP	0.08	227	3632
40	eco2	NWC	0.077	443	24454
40	eco2	PB	0.08	530	12985
40	eco2	QA	0.069	745	14602
40	eco2	RM	0.01	223	7917
40	eco2	RO	0.047	643	17875
40	eco2	S	0.055	442	6978
40	eco2	SM	0.001	271	11518
40	eco2	WS	0.065	991	18730
40	eco2	YB	0.06	511	11702
40	eco3	BA	0.075	476	15184
40	eco3	BF	0.084	751	9538
40	eco3	BS	0.069	884	16708
40	eco3	EWP	0.043	620	27838
40	eco3	JP	0.08	227	3632
40	eco3	NWC	0.077	443	24454
40	eco3	PB	0.08	530	12985
40	eco3	QA	0.073	769	15072
40	eco3	RM	0.01	223	7917
40	eco3	RO	0.048	642	17848
40	eco3	S	0.056	446	7052
40	eco3	SM	0.001	271	11518
40	eco3	WS	0.07	1006	19013
40	eco3	YB	0.06	511	11702
60	eco1	BA	0.066	487	15535
60	eco1	BF	0.079	721	9157
60	eco1	BS	0.072	789	14912
60	eco1	EWP	0.033	633	28422
60	eco1	JP	0.078	272	4352
60	eco1	NWC	0.068	481	26551
60	eco1	PB	0.083	523	12814
60	eco1	QA	0.063	678	13289
60	eco1	RM	0.005	257	9124
60	eco1	RO	0.039	599	16652
60	eco1	S	0.050	431	6827
60	eco1	SM	0.001	302	12835
60	eco1	WS	0.072	846	15989
60	eco1	YB	0.048	517	11839
60	eco2	BA	0.066	510	16269
60	eco2	BF	0.081	811	10300
60	eco2	BS	0.073	895	16916
60	eco2	EWP	0.034	733	32912
60	eco2	JP	0.078	272	4352
60	eco2	NWC	0.068	497	27434
60	eco2	PB	0.084	564	13818
60	eco2	QA	0.067	782	15327
60	eco2	RM	0.005	257	9124
60	eco2	RO	0.04	672	18682
60	eco2	S	0.051	477	7936
60	eco2	SM	0.001	302	12835
60	eco2	WS	0.072	960	18144
60	eco2	YB	0.048	554	12687
60	eco3	BA	0.066	510	16269
60	eco3	BF	0.082	844	10719
60	eco3	BS	0.076	1003	18957
60	eco3	EWP	0.034	740	33226
60	eco3	JP	0.078	272	4352
60	eco3	NWC	0.068	497	27434
60	eco3	PB	0.084	564	13818
60	eco3	QA	0.068	830	16268
60	eco3	RM	0.005	257	9124
60	eco3	RO	0.04	682	18960
60	eco3	S	0.051	487	8140
60	eco3	SM	0.001	302	12835
60	eco3	WS	0.076	1127	21300
60	eco3	YB	0.048	554	12687
80	eco1	BA	0.035	483	15408
80	eco1	BF	0.074	731	9284
80	eco1	BS	0.084	791	14950
80	eco1	EWP	0.007	622	27928
80	eco1	JP	0.058	280	4480
80	eco1	NWC	0.036	455	25116
80	eco1	PB	0.083	529	12961
80	eco1	QA	0.049	658	12897
80	eco1	RM	0.001	241	8556
80	eco1	RO	0.019	609	16930
80	eco1	S	0.033	426	6676
80	eco1	SM	0.001	285	12113
80	eco1	WS	0.084	835	15782
80	eco1	YB	0.011	513	11748
80	eco2	BA	0.035	485	15472
80	eco2	BF	0.074	787	9995
80	eco2	BS	0.084	905	17105
80	eco2	EWP	0.007	636	28556
80	eco2	JP	0.058	280	4480
80	eco2	NWC	0.036	466	25723
80	eco2	PB	0.083	536	13132
80	eco2	QA	0.052	760	14896
80	eco2	RM	0.001	241	8556
80	eco2	RO	0.019	645	17931
80	eco2	S	0.034	452	7261
80	eco2	SM	0.001	285	12113
80	eco2	WS	0.084	980	18522
80	eco2	YB	0.011	525	12023
80	eco3	BA	0.035	485	15472
80	eco3	BF	0.074	772	9804
80	eco3	BS	0.084	899	16991
80	eco3	EWP	0.007	633	28422
80	eco3	JP	0.058	280	4480
80	eco3	NWC	0.036	466	25723
80	eco3	PB	0.083	536	13132
80	eco3	QA	0.052	788	15445
80	eco3	RM	0.001	241	8556
80	eco3	RO	0.019	649	18042
80	eco3	S	0.034	458	7371
80	eco3	SM	0.001	285	12113
80	eco3	WS	0.084	1020	19278
80	eco3	YB	0.011	525	12023
100	eco1	BA	0.067	400	12760
100	eco1	BF	0.077	568	7214
100	eco1	BS	0.071	626	11831
100	eco1	EWP	0.029	489	21956
100	eco1	JP	0.076	301	4816
100	eco1	NWC	0.069	419	23129
100	eco1	PB	0.08	416	10192
100	eco1	QA	0.061	470	9212
100	eco1	RM	0.005	259	9195
100	eco1	RO	0.038	443	12315
100	eco1	S	0.049	321	4135
100	eco1	SM	0.001	297	12623
100	eco1	WS	0.071	679	12833
100	eco1	YB	0.047	424	9710
100	eco2	BA	0.067	469	14961
100	eco2	BF	0.081	540	6858
100	eco2	BS	0.073	678	12814
100	eco2	EWP	0.034	497	22315
100	eco2	JP	0.076	301	4816
100	eco2	NWC	0.069	482	26606
100	eco2	PB	0.083	500	12250
100	eco2	QA	0.065	643	12603
100	eco2	RM	0.005	259	9195
100	eco2	RO	0.04	559	15540
100	eco2	S	0.051	408	6253
100	eco2	SM	0.001	297	12623
100	eco2	WS	0.074	767	14496
100	eco2	YB	0.049	504	11542
100	eco3	BA	0.067	477	15216
100	eco3	BF	0.082	715	9081
100	eco3	BS	0.075	839	15857
100	eco3	EWP	0.034	611	27434
100	eco3	JP	0.076	301	4816
100	eco3	NWC	0.069	482	26606
100	eco3	PB	0.083	525	12863
100	eco3	QA	0.068	781	15308
100	eco3	RM	0.005	259	9195
100	eco3	RO	0.041	636	17681
100	eco3	S	0.052	452	7263
100	eco3	SM	0.001	297	12623
100	eco3	WS	0.076	964	18220
100	eco3	YB	0.049	519	11885
120	eco1	BA	0.054	480	15312
120	eco1	BF	0.079	695	8827
120	eco1	BS	0.08	756	14288
120	eco1	EWP	0.023	595	26716
120	eco1	JP	0.071	294	4704
120	eco1	NWC	0.056	454	25061
120	eco1	PB	0.085	519	12716
120	eco1	QA	0.06	607	11897
120	eco1	RM	0.001	240	8520
120	eco1	RO	0.031	572	15902
120	eco1	S	0.044	408	6245
120	eco1	SM	0.001	281	11943
120	eco1	WS	0.081	801	15139
120	eco1	YB	0.032	511	11702
120	eco2	BA	0.054	483	15408
120	eco2	BF	0.079	757	9614
120	eco2	BS	0.08	837	15819
120	eco2	EWP	0.023	675	30308
120	eco2	JP	0.071	294	4704
120	eco2	NWC	0.056	463	25558
120	eco2	PB	0.085	526	12887
120	eco2	QA	0.061	725	14210
120	eco2	RM	0.001	240	8520
120	eco2	RO	0.031	640	17792
120	eco2	S	0.044	442	7021
120	eco2	SM	0.001	281	11943
120	eco2	WS	0.081	916	17312
120	eco2	YB	0.032	519	11885
120	eco3	BA	0.054	483	15408
120	eco3	BF	0.079	788	10008
120	eco3	BS	0.08	936	17690
120	eco3	EWP	0.023	678	30442
120	eco3	JP	0.071	294	4704
120	eco3	NWC	0.056	463	25558
120	eco3	PB	0.085	526	12887
120	eco3	QA	0.061	779	15268
120	eco3	RM	0.001	240	8520
120	eco3	RO	0.031	640	17792
120	eco3	S	0.044	451	7197
120	eco3	SM	0.001	281	11943
120	eco3	WS	0.081	1057	19977
120	eco3	YB	0.032	519	11885
140	eco1	BA	0.067	523	16684
140	eco1	BF	0.075	795	10097
140	eco1	BS	0.067	862	16292
140	eco1	EWP	0.031	680	30532
140	eco1	JP	0.077	292	4672
140	eco1	NWC	0.07	495	27324
140	eco1	PB	0.08	573	14039
140	eco1	QA	0.06	702	13759
140	eco1	RM	0.006	278	9869
140	eco1	RO	0.038	653	18153
140	eco1	S	0.049	469	7865
140	eco1	SM	0.001	323	13728
140	eco1	WS	0.067	908	17161
140	eco1	YB	0.049	560	12824
140	eco2	BA	0.068	529	16875
140	eco2	BF	0.075	843	10706
140	eco2	BS	0.066	974	18409
140	eco2	EWP	0.036	706	31699
140	eco2	JP	0.077	292	4672
140	eco2	NWC	0.07	504	27821
140	eco2	PB	0.082	580	14210
140	eco2	QA	0.066	835	16366
140	eco2	RM	0.006	278	9869
140	eco2	RO	0.041	701	19488
140	eco2	S	0.052	503	8616
140	eco2	SM	0.001	323	13728
140	eco2	WS	0.066	1066	20147
140	eco2	YB	0.051	569	13030
140	eco3	BA	0.068	529	16875
140	eco3	BF	0.082	823	10452
140	eco3	BS	0.074	961	18163
140	eco3	EWP	0.036	704	31610
140	eco3	JP	0.077	292	4672
140	eco3	NWC	0.07	504	27821
140	eco3	PB	0.082	580	14210
140	eco3	QA	0.069	854	16738
140	eco3	RM	0.006	278	9869
140	eco3	RO	0.042	702	19516
140	eco3	S	0.052	506	8687
140	eco3	SM	0.001	323	13728
140	eco3	WS	0.075	1096	20714
140	eco3	YB	0.051	570	13053
